2023/12/07 17:22:43 569829	INFO [auto_smokephone.cc->Load_config:325]	domain_config:  jiayouzhan
2023/12/07 17:22:44 178821	INFO [object_detector.cc->Predict:469]	ObjectDetector::Predict enteredcamID:0
2023/12/07 17:22:44 178828	INFO [object_detector.cc->Predict:492]	ObjectDetector::Predict before Preprocesscontext size:1,camID:0
2023/12/07 17:22:44 200153	INFO [object_detector.cc->Predict:495]	ObjectDetector::Predict after Preprocesscontext size:1,camID:0
2023/12/07 17:22:44 200366	INFO [object_detector.cc->Predict:534]	ObjectDetector::Predict before cudaSetDevicecontext size:1,camID:0
2023/12/07 17:22:44 200372	INFO [object_detector.cc->Predict:537]	ObjectDetector::Predict after cudaSetDevicecontext size:1,camID:0
2023/12/07 17:22:44 200377	INFO [object_detector.cc->Predict:544]	ObjectDetector::Predict before assertcontext size:1,choiceIntVal:0,camID:0
2023/12/07 17:22:44 200380	INFO [object_detector.cc->Predict:548]	ObjectDetector::Predict before doInferencecamID:0
2023/12/07 17:22:44 201230	INFO [object_detector.cc->doInference:219]	inference: Wait lock...camID:0
2023/12/07 17:22:44 204933	INFO [object_detector.cc->doInference:232]	inference: Out lock...camID:0
2023/12/07 17:22:44 205060	INFO [object_detector.cc->Predict:553]	ObjectDetector::Predict after doInferencecamID:0
2023/12/07 17:22:44 207633	INFO [object_detector.cc->Predict:664]	ObjectDetector::Predict num of boxes after nms:1camID:0
2023/12/07 17:22:44 207654	INFO [object_detector.cc->ppyoloe_det_stuff:762]	SmokePhoneDetection:infer time:28ms,camID:0
2023/12/07 17:22:44 207662	INFO [object_detector.cc->ppyoloe_det_stuff:763]	SmokePhoneDetection:det_times:21.5001 bbox_num:1
2023/12/07 17:22:44 207666	INFO [object_detector.cc->ppyoloe_det_stuff:801]	SmokePhoneDetection:confidence:0.401123,id:0
2023/12/07 17:22:44 207678	INFO [SmokePhone_new.cpp->detect:476]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.89829 at x:1474.08 y:203.70 w:74.96  h:181.12 tid:-1

2023/12/07 17:22:44 207682	INFO [SmokePhone_new.cpp->detect:476]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.87298 at x:1555.71 y:205.72 w:76.89  h:188.10 tid:-1

2023/12/07 17:22:44 207685	INFO [SmokePhone_new.cpp->detect:476]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.75031 at x:1214.77 y:180.39 w:54.59  h:113.39 tid:-1

2023/12/07 17:22:44 207688	INFO [SmokePhone_new.cpp->detect:476]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.74615 at x:1178.50 y:139.12 w:61.84  h:150.26 tid:-1

2023/12/07 17:22:44 207692	INFO [SmokePhone_new.cpp->detect:481]	FaceDetection::detect:camID:0 person_det_resultsInside work_clothe_blue = confidence:0.40112 at x:1217.00 y:149.00 w:20.00  h:23.00 tid:-1

2023/12/07 17:22:44 207695	INFO [SmokePhone_new.cpp->detect:492]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.89829 at x:1474.08 y:203.70 w:74.96  h:181.12 tid:-1

2023/12/07 17:22:44 207698	INFO [SmokePhone_new.cpp->detect:514]	FaceDetection::detect:camID:0 person_det_resultsInside work_clothe_blue = confidence:0.40112 at x:1217.00 y:149.00 w:20.00  h:23.00 tid:-1

